trial_number, m , ef_construction, ef_search, recall            , latency_ms          , build_time_s       , memory_bytes
           0, 26,             478,       223, 0.99995           , 0.08088276099988434 , 3.313518303999899  ,     13330392
           1, 40,             120,        55, 0.9987500000000005, 0.02214577399990958 , 0.6842350920001081 ,     15347408
           2,  7,             440,       184, 0.9991000000000004, 0.038588879000144516, 1.9754201680002552 ,     10612096
           3, 47,              59,       292, 0.9993500000000004, 0.049839545999930124, 0.3953244949998407 ,     16357728
           4, 54,             145,        62, 0.9994000000000002, 0.024275926999962394, 1.0127426970002489 ,     17362376
           5, 15,             187,       162, 0.9999000000000001, 0.035805936499855306, 1.02608142400004   ,     11749920
           6, 30,             181,       188, 0.99995           , 0.042453565999949205, 1.097236759000225  ,     13907176
           7, 12,             181,       116, 0.9992000000000003, 0.028266339999845513, 0.9739788199999566 ,     11320808
           8, 31,             404,        68, 0.9993500000000002, 0.02694770600010088 , 2.5128484440001557 ,     14051040
           9, 35,             317,        23, 0.9696500000000067, 0.015463572000044223, 1.7421655559996907 ,     14626176
          10,  5,             263,       112, 0.9776000000000062, 0.023431295000136743, 1.1195967280000332 ,     10334376
          11,  4,             283,       116, 0.9111000000000071, 0.03892389249995176 , 1.2008011220000299 ,     10203356
          12, 16,             355,       110, 0.9998000000000001, 0.043650777500033655, 2.0301464619997205 ,     11892212
          13, 18,             231,       113, 0.9998000000000001, 0.031614453499969386, 1.2818978630002675 ,     12179012
          14, 10,             245,       242, 0.9997999999999999, 0.06355773050017888 , 1.207136167999579  ,     11034384
          15, 61,             347,       138, 0.99995           , 0.03949150449989247 , 2.1862508409999464 ,     18369440
          16, 22,              58,        80, 0.9989000000000006, 0.02511170449997735 , 0.4133919750001951 ,     12755448
          17, 23,              64,        26, 0.9644000000000066, 0.014522329000101308, 0.4777804750001451 ,     12900384
          18, 40,             109,        79, 0.99925           , 0.026394194999966203, 0.6325794720000886 ,     15347408
          19, 23,             252,        88, 0.9997            , 0.04657664499995917 , 1.4433962419998352 ,     12900384
          20, 21,             399,       154, 0.99995           , 0.05177362850008649 , 2.47395058300026   ,     12611432
          21, 27,              64,        15, 0.9157500000000077, 0.011624694499914767, 0.4169604710000385 ,     13474080
          22, 36,              97,        29, 0.9835000000000044, 0.016474452000011297, 0.5789700979998997 ,     14770236
          23, 64,             500,        47, 0.997850000000001 , 0.023161867499993605, 3.24863115800008   ,     18798356
          24, 22,             144,        41, 0.9906000000000023, 0.018965383500017197, 0.8587082660001215 ,     12755448
          25, 48,              57,        10, 0.8463000000000047, 0.009643031999985396, 0.39454843700013953,     16501356
          26, 27,             212,        92, 0.9997500000000001, 0.030388748999939708, 1.1766458960000818 ,     13474080
          27, 12,             284,       294, 1.0               , 0.047925374000215015, 1.5141082710001683 ,     11320808
          28, 20,             146,        36, 0.9892500000000031, 0.021078571500083854, 0.8382510789997468 ,     12467172
          29, 25,              95,       234, 0.99995           , 0.04546522900000127 , 0.7761725079999451 ,     13186152
          30, 30,             463,       271, 0.99995           , 0.05809554899997238 , 2.8426463159999003 ,     13907176
          31, 27,              52,        14, 0.8982500000000077, 0.01233458149999933 , 0.3705022150002151 ,     13474192
          32, 39,              86,        59, 0.9988500000000001, 0.025257239499978823, 0.5266009469996789 ,     15203456
          33, 17,              82,        43, 0.990350000000003 , 0.018374397999878056, 0.6155584030002501 ,     12035616
          34,  7,             115,        49, 0.952150000000008 , 0.015020457999980863, 0.6349336540001786 ,     10612096
          35,  4,             131,       200, 0.9756000000000049, 0.03207100849999733 , 0.6087664550000227 ,     10203376
          36,  8,             130,        74, 0.9878000000000028, 0.021209405500030698, 0.7187460360000841 ,     10751424
          37, 45,             117,       205, 1.0               , 0.04612448300008509 , 0.7820544890000747 ,     16069288
          38, 12,             164,       138, 0.9997000000000001, 0.031080816500207224, 0.8469103709999217 ,     11320808
          39, 14,             124,        55, 0.9931000000000018, 0.019936717999826215, 0.6687025500000345 ,     11607096
