pareto_rank, trial_number, m , ef_construction, ef_search, recall            , latency_ms          , build_time_s      , memory_bytes, aggregate_score
          1,           16, 22,              58,        80, 0.9989000000000006, 0.02511170449997735 , 0.4133919750001951,     12755448, 0.8768177452850445
          2,           38, 12,             164,       138, 0.9997000000000001, 0.031080816500207224, 0.8469103709999217,     11320808, 0.8730259641275695
          3,            7, 12,             181,       116, 0.9992000000000003, 0.028266339999845513, 0.9739788199999566,     11320808, 0.8536905604611643
          4,            5, 15,             187,       162, 0.9999000000000001, 0.035805936499855306, 1.02608142400004  ,     11749920, 0.839020796591024
          5,           18, 40,             109,        79, 0.99925           , 0.026394194999966203, 0.6325794720000886,     15347408, 0.838916756467981
          6,           13, 18,             231,       113, 0.9998000000000001, 0.031614453499969386, 1.2818978630002675,     12179012, 0.833378168612475
          7,            1, 40,             120,        55, 0.9987500000000005, 0.02214577399990958 , 0.6842350920001081,     15347408, 0.8328574400507356
          8,           26, 27,             212,        92, 0.9997500000000001, 0.030388748999939708, 1.1766458960000818,     13474080, 0.8283303813026796
          9,            4, 54,             145,        62, 0.9994000000000002, 0.024275926999962394, 1.0127426970002489,     17362376, 0.8055044162801908
         10,           29, 25,              95,       234, 0.99995           , 0.04546522900000127 , 0.7761725079999451,     13186152, 0.7873549014135304
         11,            6, 30,             181,       188, 0.99995           , 0.042453565999949205, 1.097236759000225 ,     13907176, 0.7719803732205837
         12,           37, 45,             117,       205, 1.0               , 0.04612448300008509 , 0.7820544890000747,     16069288, 0.7487147136474206
         13,           27, 12,             284,       294, 1.0               , 0.047925374000215015, 1.5141082710001683,     11320808, 0.7481062384458804
         14,            2,  7,             440,       184, 0.9991000000000004, 0.038588879000144516, 1.9754201680002552,     10612096, 0.7295909237482252
         15,            8, 31,             404,        68, 0.9993500000000002, 0.02694770600010088 , 2.5128484440001557,     14051040, 0.7245535505717217
         16,            3, 47,              59,       292, 0.9993500000000004, 0.049839545999930124, 0.3953244949998407,     16357728, 0.7181571467381297
         17,           14, 10,             245,       242, 0.9997999999999999, 0.06355773050017888 , 1.207136167999579 ,     11034384, 0.6766869168194575
         18,           15, 61,             347,       138, 0.99995           , 0.03949150449989247 , 2.1862508409999464,     18369440, 0.6537034276545081
         19,           39, 14,             124,        55, 0.9931000000000018, 0.019936717999826215, 0.6687025500000345,     11607096, 0.6016507488145747
         20,           33, 17,              82,        43, 0.990350000000003 , 0.018374397999878056, 0.6155584030002501,     12035616, 0.46604858050275977
         21,           24, 22,             144,        41, 0.9906000000000023, 0.018965383500017197, 0.8587082660001215,     12755448, 0.44922853926087103
