trial,m,ef_construction,ef_search,recall_at_1,recall_at_10,recall_at_100,mrr_at_k,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,build_time_s,memory_mb,score
4,51,288,144,1.0,1.0,1.0,1.0,0.13637501979246736,0.1882541284430772,0.25651372387073934,7176.048903476529,1.5063365830574185,16.136825561523438,1.1
6,19,117,233,1.0,0.99995,0.99995,1.0,0.13337493874132633,0.2631332434248179,0.5242466670460998,6430.510772401619,0.5395690000150353,11.748977661132812,1.09995
7,18,220,164,1.0,0.99995,0.99995,1.0,0.10647950693964958,0.14988534967415035,0.20854147151112556,8857.82725612375,0.8983120829798281,11.611404418945312,1.09995
2,11,361,107,1.0,0.9989500000000004,0.9989500000000004,1.0,0.10262499563395977,0.17258297884836793,0.27448198059573764,9081.225907721984,1.2057603750145063,10.655181884765625,1.0989500000000005
1,44,297,44,0.999,0.9971500000000012,0.9971500000000012,0.999,0.06727053551003337,0.08716912125237286,0.09888752596452831,14299.821678284383,0.9148056249832734,15.17581558227539,1.0971500000000012
10,10,336,85,0.9995,0.9961500000000015,0.9961500000000015,0.9995,0.07052056025713682,0.09312918409705162,0.12692244141362607,13441.399458940745,0.8798183329636231,10.518508911132812,1.0961500000000015
5,21,67,46,0.994,0.9905500000000015,0.9905500000000015,0.994,0.07187505252659321,0.12478757416829464,0.22064340882934627,12762.439899138428,0.3805045000044629,12.02325439453125,1.0905500000000015
3,5,62,276,0.946,0.9518000000000014,0.9518000000000014,0.946,0.13893749564886093,0.4131058754865079,0.5793726386036724,5435.866760117374,0.6508960420032963,9.851898193359375,1.0518000000000014
8,12,138,21,0.9415,0.9046500000000077,0.9046500000000077,0.9415,0.036415993236005306,0.043460167944431305,0.047751321690157056,27059.393647734087,0.46143170807044953,10.791801452636719,1.0046500000000078
9,51,179,12,0.926,0.8921000000000073,0.8921000000000073,0.926,0.035395496524870396,0.04612701595760882,0.05208543501794338,27456.267253400805,0.5469965409720317,16.136825561523438,0.9921000000000073
